
----------------------- 
-----------------------
 2021-06-07 00:02:46.167173 on binance
----------------------- 
-----------------------
Triangle: RSRBUSD RSRBNB BNBBUSD, Gains : 0.13 percent, Type: short.
Triangle: KSMBUSD KSMBNB BNBBUSD, Gains : 0.61 percent, Type: short.
Triangle: ICPBUSD ICPBNB BNBBUSD, Gains : 0.34 percent, Type: short.
Triangle: NUBUSD NUBNB BNBBUSD, Gains : 0.73 percent, Type: short.
Triangle: XTZBUSD XTZBTC BTCBUSD, Gains : 0.33 percent, Type: short.
Triangle: SOLBUSD SOLBTC BTCBUSD, Gains : 0.56 percent, Type: short.
Triangle: SXPBUSD SXPBTC BTCBUSD, Gains : 0.1 percent, Type: short.
Triangle: RUNEBUSD RUNEBTC BTCBUSD, Gains : 0.17 percent, Type: short.
Triangle: SRMBUSD SRMBTC BTCBUSD, Gains : 0.05 percent, Type: short.
Triangle: SANDBUSD SANDBTC BTCBUSD, Gains : 0.07 percent, Type: short.
Triangle: RSRBUSD RSRBTC BTCBUSD, Gains : 0.09 percent, Type: short.
Triangle: KSMBUSD KSMBTC BTCBUSD, Gains : 0.81 percent, Type: short.
Triangle: ICPBUSD ICPBTC BTCBUSD, Gains : 0.24 percent, Type: short.
Triangle: NUBUSD NUBTC BTCBUSD, Gains : 0.08 percent, Type: long.
Triangle: XTZUSDT XTZBUSD BUSDUSDT, Gains : 0.37 percent, Type: long.
Triangle: SOLUSDT SOLBUSD BUSDUSDT, Gains : 0.53 percent, Type: long.
Triangle: MKRUSDT MKRBUSD BUSDUSDT, Gains : 0.06 percent, Type: long.
Triangle: MANAUSDT MANABUSD BUSDUSDT, Gains : 0.05 percent, Type: short.
Triangle: KSMUSDT KSMBUSD BUSDUSDT, Gains : 0.77 percent, Type: short.
Triangle: XVGUSDT XVGBUSD BUSDUSDT, Gains : 0.26 percent, Type: short.
Triangle: ICPUSDT ICPBUSD BUSDUSDT, Gains : 0.4 percent, Type: long.
Triangle: NUUSDT NUBUSD BUSDUSDT, Gains : 1.05 percent, Type: short.
Triangle: ETHRUB ETHBUSD BUSDRUB, Gains : 0.04 percent, Type: long.
Triangle: ETHTRY ETHBUSD BUSDTRY, Gains : 0.22 percent, Type: long.
Triangle: ETHBUSD ETHEUR EURBUSD, Gains : 0.11 percent, Type: short.
Triangle: ETHBUSD ETHGBP GBPBUSD, Gains : 0.1 percent, Type: short.
Triangle: ETHBIDR ETHBUSD BUSDBIDR, Gains : 0.06 percent, Type: long.
Triangle: ETHBUSD ETHAUD AUDBUSD, Gains : 0.15 percent, Type: short.
Triangle: ETHDAI ETHBUSD BUSDDAI, Gains : 0.07 percent, Type: long.
Triangle: ETHBRL ETHBUSD BUSDBRL, Gains : 0.11 percent, Type: long.
Triangle: LINKTRY LINKBUSD BUSDTRY, Gains : 0.11 percent, Type: long.
Triangle: LINKBUSD LINKEUR EURBUSD, Gains : 0.24 percent, Type: short.
Triangle: LINKBUSD LINKGBP GBPBUSD, Gains : 0.14 percent, Type: short.
Triangle: LINKBUSD LINKAUD AUDBUSD, Gains : 0.18 percent, Type: short.
Triangle: LINKBRL LINKBUSD BUSDBRL, Gains : 0.15 percent, Type: long.
Triangle: BCHEUR BCHBNB BNBEUR, Gains : 0.05 percent, Type: long.
Triangle: BCHEUR BCHBTC BTCEUR, Gains : 0.06 percent, Type: long.
Triangle: MATICRUB MATICBUSD BUSDRUB, Gains : 0.19 percent, Type: long.
Triangle: SOLEUR SOLBTC BTCEUR, Gains : 0.27 percent, Type: long.
Triangle: DOTEUR DOTBTC BTCEUR, Gains : 0.16 percent, Type: long.
Triangle: LUNAEUR LUNABTC BTCEUR, Gains : 0.32 percent, Type: long.
Triangle: GRTEUR GRTBTC BTCEUR, Gains : 0.02 percent, Type: long.
Triangle: GRTEUR GRTETH ETHEUR, Gains : 0.03 percent, Type: long.
Triangle: SOLEUR SOLBNB BNBEUR, Gains : 0.34 percent, Type: long.
Triangle: YFIEUR YFIBNB BNBEUR, Gains : 0.06 percent, Type: long.
Triangle: DOTEUR DOTBNB BNBEUR, Gains : 0.16 percent, Type: long.
Triangle: LUNAEUR LUNABNB BNBEUR, Gains : 0.21 percent, Type: long.
Triangle: AVAXEUR AVAXBNB BNBEUR, Gains : 0.01 percent, Type: long.
Triangle: SOLBUSD SOLEUR EURBUSD, Gains : 0.85 percent, Type: short.
Triangle: MATICBUSD MATICEUR EURBUSD, Gains : 0.37 percent, Type: short.
Triangle: DOGEBUSD DOGEEUR EURBUSD, Gains : 0.12 percent, Type: short.
Triangle: UNIBUSD UNIEUR EURBUSD, Gains : 0.07 percent, Type: short.
Triangle: YFIUSDT YFIEUR EURUSDT, Gains : 0.19 percent, Type: short.
Triangle: MATICBUSD MATICGBP GBPBUSD, Gains : 0.28 percent, Type: long.
Triangle: MATICBIDR MATICBUSD BUSDBIDR, Gains : 0.24 percent, Type: long.
Triangle: MATICBRL MATICBUSD BUSDBRL, Gains : 0.32 percent, Type: long.
Triangle: CAKEGBP CAKEBNB BNBGBP, Gains : 0.04 percent, Type: long.
Triangle: DOGEBUSD DOGEGBP GBPBUSD, Gains : 0.09 percent, Type: short.
Triangle: DOTBIDR DOTBTC BTCBIDR, Gains : 0.36 percent, Type: long.
Triangle: DOGEBIDR DOGEBUSD BUSDBIDR, Gains : 0.01 percent, Type: long.
Triangle: ETHBUSD ETHBTC BTCBUSD, Gains : 0.23 percent, Type: long.
Triangle: ETHRUB ETHBTC BTCRUB, Gains : 0.02 percent, Type: short.
Triangle: ETHTRY ETHBTC BTCTRY, Gains : 0.2 percent, Type: long.
Triangle: ETHEUR ETHBTC BTCEUR, Gains : 0.21 percent, Type: long.
Triangle: ETHGBP ETHBTC BTCGBP, Gains : 0.16 percent, Type: long.
Triangle: ETHAUD ETHBTC BTCAUD, Gains : 0.22 percent, Type: long.
Triangle: ETHDAI ETHBTC BTCDAI, Gains : 0.14 percent, Type: long.
Triangle: LTCEUR LTCBTC BTCEUR, Gains : 0.25 percent, Type: long.
Triangle: LTCGBP LTCBTC BTCGBP, Gains : 0.01 percent, Type: long.
Triangle: BNBBUSD BNBBTC BTCBUSD, Gains : 0.14 percent, Type: long.
Triangle: STXBTC STXBNB BNBBTC, Gains : 0.02 percent, Type: long.
Triangle: BNBEUR BNBBTC BTCEUR, Gains : 0.03 percent, Type: long.
Triangle: SOLBTC SOLBNB BNBBTC, Gains : 0.36 percent, Type: long.
Triangle: DOTBTC DOTBNB BNBBTC, Gains : 0.48 percent, Type: short.
Triangle: LUNABTC LUNABNB BNBBTC, Gains : 0.2 percent, Type: short.
Triangle: NUBTC NUBNB BNBBTC, Gains : 0.75 percent, Type: long.
Triangle: QTUMBUSD QTUMETH ETHBUSD, Gains : 0.26 percent, Type: long.
Triangle: BNBBUSD BNBETH ETHBUSD, Gains : 0.11 percent, Type: long.
Triangle: BNBRUB BNBETH ETHRUB, Gains : 0.01 percent, Type: long.
Triangle: QTUMUSDT QTUMBTC BTCUSDT, Gains : 0.14 percent, Type: short.
Triangle: KNCUSDT KNCBTC BTCUSDT, Gains : 0.05 percent, Type: long.
Triangle: MTLUSDT MTLBTC BTCUSDT, Gains : 1.56 percent, Type: long.
Triangle: LSKUSDT LSKBTC BTCUSDT, Gains : 0.51 percent, Type: short.
Triangle: MANAUSDT MANABTC BTCUSDT, Gains : 0.08 percent, Type: short.
Triangle: BTCUSDT BTCPAX PAXUSDT, Gains : 0.23 percent, Type: long.
Triangle: DCRUSDT DCRBTC BTCUSDT, Gains : 0.02 percent, Type: short.
Triangle: BTCTRY BTCUSDT USDTTRY, Gains : 0.06 percent, Type: short.
Triangle: BTCUSDT BTCEUR EURUSDT, Gains : 0.24 percent, Type: long.
Triangle: COTIUSDT COTIBTC BTCUSDT, Gains : 0.72 percent, Type: short.
Triangle: SOLUSDT SOLBTC BTCUSDT, Gains : 0.02 percent, Type: long.
Triangle: BTCUSDT BTCGBP GBPUSDT, Gains : 0.15 percent, Type: long.
Triangle: MKRUSDT MKRBTC BTCUSDT, Gains : 0.23 percent, Type: short.
Triangle: RUNEUSDT RUNEBTC BTCUSDT, Gains : 0.67 percent, Type: short.
Triangle: YFIUSDT YFIBTC BTCUSDT, Gains : 0.32 percent, Type: short.
Triangle: BTCDAI BTCUSDT USDTDAI, Gains : 0.28 percent, Type: short.
Triangle: SRMUSDT SRMBTC BTCUSDT, Gains : 0.28 percent, Type: short.
Triangle: DOTUSDT DOTBTC BTCUSDT, Gains : 0.18 percent, Type: long.
Triangle: RSRUSDT RSRBTC BTCUSDT, Gains : 0.39 percent, Type: short.
Triangle: TRBUSDT TRBBTC BTCUSDT, Gains : 0.04 percent, Type: short.
Triangle: YFIIUSDT YFIIBTC BTCUSDT, Gains : 0.16 percent, Type: short.
Triangle: KSMUSDT KSMBTC BTCUSDT, Gains : 0.04 percent, Type: long.
Triangle: DIAUSDT DIABTC BTCUSDT, Gains : 0.08 percent, Type: long.
Triangle: BELUSDT BELBTC BTCUSDT, Gains : 0.39 percent, Type: long.
Triangle: XVSUSDT XVSBTC BTCUSDT, Gains : 0.03 percent, Type: short.
Triangle: UNFIUSDT UNFIBTC BTCUSDT, Gains : 0.01 percent, Type: short.
Triangle: SKLUSDT SKLBTC BTCUSDT, Gains : 0.49 percent, Type: long.
Triangle: JUVUSDT JUVBTC BTCUSDT, Gains : 0.16 percent, Type: long.
Triangle: ASRUSDT ASRBTC BTCUSDT, Gains : 0.25 percent, Type: long.
Triangle: BADGERUSDT BADGERBTC BTCUSDT, Gains : 0.01 percent, Type: short.
Triangle: FISUSDT FISBTC BTCUSDT, Gains : 0.05 percent, Type: long.
Triangle: ALICEUSDT ALICEBTC BTCUSDT, Gains : 0.13 percent, Type: short.
Triangle: TLMUSDT TLMBTC BTCUSDT, Gains : 0.01 percent, Type: long.
Triangle: ICPUSDT ICPBTC BTCUSDT, Gains : 0.53 percent, Type: short.
Triangle: ARUSDT ARBTC BTCUSDT, Gains : 0.01 percent, Type: short.
Triangle: POLSUSDT POLSBTC BTCUSDT, Gains : 0.21 percent, Type: short.
Triangle: MDXUSDT MDXBTC BTCUSDT, Gains : 0.34 percent, Type: short.
Triangle: NUUSDT NUBTC BTCUSDT, Gains : 1.77 percent, Type: short.
Triangle: LRCUSDT LRCETH ETHUSDT, Gains : 0.16 percent, Type: short.
Triangle: ETHDAI ETHUSDT USDTDAI, Gains : 0.04 percent, Type: short.
Triangle: QTUMBUSD QTUMBTC BTCBUSD, Gains : 0.02 percent, Type: short.
Triangle: NEOBUSD NEOETH ETHBUSD, Gains : 0.35 percent, Type: short.
Triangle: LINKAUD LINKBTC BTCAUD, Gains : 0.05 percent, Type: long.
Triangle: XRPAUD XRPBTC BTCAUD, Gains : 0.18 percent, Type: long.
Triangle: XRPAUD XRPETH ETHAUD, Gains : 0.01 percent, Type: long.
Triangle: BNBUSDT BNBUSDC USDCUSDT, Gains : 0.1 percent, Type: long.
Triangle: RUNEUSDT RUNEBNB BNBUSDT, Gains : 0.42 percent, Type: short.
Triangle: SRMUSDT SRMBNB BNBUSDT, Gains : 0.19 percent, Type: short.
Triangle: DOTUSDT DOTBNB BNBUSDT, Gains : 0.26 percent, Type: long.
Triangle: LUNAUSDT LUNABNB BNBUSDT, Gains : 0.02 percent, Type: short.
Triangle: RSRUSDT RSRBNB BNBUSDT, Gains : 0.17 percent, Type: short.
Triangle: YFIIUSDT YFIIBNB BNBUSDT, Gains : 0.01 percent, Type: short.
Triangle: KSMUSDT KSMBNB BNBUSDT, Gains : 0.11 percent, Type: long.
Triangle: BELUSDT BELBNB BNBUSDT, Gains : 0.77 percent, Type: long.
Triangle: ICPUSDT ICPBNB BNBUSDT, Gains : 0.25 percent, Type: long.
Triangle: NUUSDT NUBNB BNBUSDT, Gains : 0.81 percent, Type: short.
Triangle: NEOUSDT NEOBUSD BUSDUSDT, Gains : 0.39 percent, Type: long.
Triangle: RLCBUSD RLCBTC BTCBUSD, Gains : 0.12 percent, Type: short.
Triangle: ZENBUSD ZENBNB BNBBUSD, Gains : 0.02 percent, Type: short.
